,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS
57,328531,40-64,female,majority,20-29y,university,middle class,0.3875569443647317,False,after 2015,False,True,32765,12000.0,sedan,2,0,1
58,123941,40-64,female,majority,20-29y,university,middle class,0.5701572256616224,True,after 2015,True,True,10238,12000.0,sedan,0,0,0
59,131881,26-39,male,majority,10-19y,university,working class,0.5501250875743224,True,before 2015,False,False,10238,16000.0,sedan,0,1,0
60,839572,40-64,male,majority,20-29y,high school,working class,0.4529442316093683,False,before 2015,True,True,10238,12000.0,sedan,3,0,1
61,171578,26-39,male,majority,10-19y,university,upper class,0.0,True,before 2015,True,True,10238,8000.0,sedan,2,0,1
62,589757,40-64,female,majority,20-29y,high school,upper class,0.5352743096602144,True,before 2015,True,True,92101,7000.0,sedan,2,0,0
63,336859,16-25,female,majority,0-9y,university,middle class,0.6147359485632915,True,before 2015,False,True,10238,15000.0,sedan,0,0,0
64,788111,40-64,female,minority,20-29y,high school,poverty,0.4544471564329259,True,before 2015,True,True,10238,15000.0,sedan,1,0,1
65,407453,40-64,female,majority,0-9y,university,upper class,0.6137409183819416,True,before 2015,False,False,10238,15000.0,sedan,0,0,0
66,367026,40-64,female,minority,10-19y,high school,working class,0.5326613280250595,True,before 2015,True,True,10238,11000.0,sedan,0,0,0
67,334687,40-64,female,minority,0-9y,university,middle class,0.4277285143019345,True,before 2015,False,False,10238,15000.0,sedan,0,0,0
68,623367,65+,male,majority,20-29y,university,upper class,0.6859457213719147,True,before 2015,True,True,32765,5000.0,sedan,4,1,4
69,688440,65+,male,majority,10-19y,university,upper class,0.6936124267187082,True,before 2015,True,True,10238,10000.0,sedan,2,0,0
70,547974,65+,male,majority,20-29y,high school,upper class,0.5979905963582334,False,before 2015,True,True,10238,12000.0,sedan,2,1,7
71,989064,26-39,male,majority,0-9y,none,poverty,0.3308186664986927,False,after 2015,True,True,10238,12000.0,sedan,0,0,0
72,422816,40-64,male,majority,20-29y,high school,working class,0.0,True,before 2015,False,False,10238,12000.0,sedan,5,0,7
73,307408,26-39,female,minority,10-19y,none,working class,0.0,True,before 2015,False,True,10238,9000.0,sedan,2,0,0
74,675898,16-25,male,majority,0-9y,high school,middle class,0.5083042183803546,True,before 2015,False,True,10238,16000.0,sedan,0,0,0
75,480452,26-39,female,majority,0-9y,university,upper class,0.7641329165005233,True,before 2015,True,True,10238,12000.0,sedan,0,0,0
76,93199,40-64,female,majority,0-9y,university,middle class,0.4775169603837716,True,after 2015,True,True,10238,14000.0,sedan,0,0,0
77,125802,40-64,female,majority,20-29y,university,upper class,0.6812332078486962,True,before 2015,True,True,10238,10000.0,sedan,0,0,1
78,616663,40-64,male,majority,0-9y,university,upper class,0.4671555457007022,True,after 2015,False,False,10238,16000.0,sedan,0,0,0
79,423497,16-25,female,majority,0-9y,high school,working class,0.3941632454999797,True,before 2015,False,False,10238,16000.0,sedan,0,0,0
80,492837,40-64,female,majority,10-19y,university,upper class,0.6610607322734078,True,after 2015,True,True,10238,14000.0,sedan,0,0,0
81,422563,40-64,male,majority,20-29y,university,upper class,0.6651879748430346,False,before 2015,False,True,10238,14000.0,sedan,2,0,1
82,185231,16-25,female,majority,0-9y,high school,middle class,0.560770206632082,True,before 2015,False,True,10238,11000.0,sedan,0,0,0
83,949152,26-39,female,majority,10-19y,university,upper class,0.7454327103696547,False,after 2015,False,False,32765,9000.0,sedan,0,0,0
84,859453,26-39,male,majority,10-19y,university,middle class,0.53257435224505,True,before 2015,True,True,10238,13000.0,sedan,1,0,2
85,466578,26-39,female,majority,10-19y,high school,middle class,0.5267473391434415,True,after 2015,False,True,10238,14000.0,sedan,0,0,0
86,998214,16-25,female,minority,0-9y,none,poverty,0.4124517461654282,False,before 2015,False,False,10238,14000.0,sedan,0,0,0
87,828462,40-64,male,majority,20-29y,high school,working class,0.3871071449018297,False,before 2015,False,True,10238,16000.0,sedan,0,0,6
88,511837,65+,male,majority,10-19y,high school,middle class,0.5499938678343249,True,before 2015,True,True,32765,9000.0,sedan,3,1,1
89,554995,16-25,male,majority,0-9y,university,upper class,0.5853420947575604,True,before 2015,True,True,10238,12000.0,sports car,0,0,0
90,680717,65+,male,majority,30y+,none,middle class,0.5987396054343311,True,before 2015,True,True,10238,14000.0,sedan,6,1,3
91,978021,40-64,male,majority,20-29y,university,upper class,0.6026557000791793,True,after 2015,True,True,10238,7000.0,sedan,4,0,6
92,509815,26-39,female,majority,0-9y,high school,working class,0.5114570584803535,True,after 2015,True,True,32765,7000.0,sedan,0,0,0
93,6676,40-64,female,majority,20-29y,high school,upper class,0.5586591735288894,False,before 2015,False,True,10238,15000.0,sedan,3,0,2
94,362280,40-64,male,majority,10-19y,high school,working class,0.6284070137170304,False,before 2015,False,False,10238,13000.0,sedan,0,0,0
95,883018,40-64,male,majority,0-9y,high school,working class,0.5057903732571783,True,before 2015,False,True,10238,13000.0,sedan,0,0,0
96,889355,26-39,female,majority,10-19y,university,upper class,0.7268184180645275,True,before 2015,True,True,10238,15000.0,sedan,2,0,0
97,198273,65+,male,majority,20-29y,university,upper class,0.6904423335733175,True,after 2015,True,True,32765,9000.0,sedan,8,0,2
98,197763,40-64,male,majority,20-29y,university,upper class,0.4796771646619314,False,after 2015,True,False,10238,14000.0,sedan,1,0,2
99,55670,26-39,male,majority,10-19y,university,upper class,0.0,True,after 2015,True,True,10238,11000.0,sedan,3,1,0
100,545941,40-64,female,majority,20-29y,none,working class,0.4405592041968235,True,after 2015,True,True,10238,11000.0,sedan,1,0,2
101,814196,16-25,female,majority,0-9y,none,middle class,0.634052597196068,True,before 2015,False,True,32765,11000.0,sedan,0,0,0
102,560160,16-25,female,majority,0-9y,high school,poverty,0.4574695879943666,False,before 2015,False,False,10238,11000.0,sedan,0,0,0
103,320444,26-39,male,majority,0-9y,none,poverty,0.3086490182004943,False,before 2015,False,True,10238,14000.0,sedan,0,0,0
104,305793,16-25,male,majority,0-9y,high school,poverty,0.2458351852340737,False,before 2015,True,True,10238,11000.0,sedan,0,0,0
105,362190,16-25,male,majority,0-9y,high school,poverty,0.3056465190413162,False,before 2015,False,False,10238,14000.0,sedan,0,0,0
106,62647,26-39,male,majority,10-19y,high school,upper class,0.7440140862681482,True,before 2015,False,False,10238,13000.0,sedan,2,0,1
107,296948,40-64,male,majority,10-19y,university,upper class,0.6704645467899408,True,after 2015,True,True,10238,14000.0,sedan,0,0,0
108,673660,65+,female,majority,30y+,high school,upper class,0.6830407984824192,False,after 2015,True,True,10238,10000.0,sedan,4,1,3
109,945867,16-25,male,majority,0-9y,university,middle class,0.828628569053192,True,before 2015,False,False,10238,13000.0,sedan,0,0,0
110,391880,65+,male,majority,30y+,none,middle class,0.0,True,before 2015,True,True,32765,10000.0,sedan,12,2,2
111,241973,65+,female,majority,30y+,high school,upper class,0.6293380939717407,True,before 2015,True,False,10238,11000.0,sedan,2,0,2
112,429503,16-25,male,majority,0-9y,high school,poverty,0.28372421050714,False,before 2015,False,True,10238,15000.0,sedan,0,0,0
113,810013,16-25,male,majority,0-9y,university,working class,0.4576486815858435,True,after 2015,False,False,10238,14000.0,sports car,0,0,0
114,663458,16-25,female,majority,0-9y,high school,poverty,0.3049876423937953,False,before 2015,False,False,10238,15000.0,sedan,0,0,0
115,879976,16-25,male,majority,0-9y,high school,working class,0.5517442884135392,False,before 2015,True,True,32765,10000.0,sedan,0,0,0
116,418841,16-25,male,minority,0-9y,none,poverty,0.3186855562451054,True,before 2015,True,False,32765,9000.0,sedan,0,0,0
117,542236,26-39,male,minority,10-19y,none,working class,0.436944194154781,True,before 2015,False,False,10238,12000.0,sedan,3,0,0
118,937573,40-64,male,majority,10-19y,university,upper class,0.6291939843221722,True,before 2015,True,True,32765,7000.0,sedan,5,0,1
119,670850,16-25,male,majority,0-9y,university,working class,0.4055600158887265,True,before 2015,False,False,10238,17000.0,sedan,0,0,0
120,151252,16-25,male,majority,0-9y,university,middle class,0.6235462115803201,True,before 2015,True,False,10238,11000.0,sedan,0,0,0
121,706349,65+,male,majority,10-19y,university,upper class,0.7270329897821235,True,before 2015,True,True,10238,10000.0,sedan,1,1,2
122,602998,65+,male,majority,20-29y,none,working class,0.426828388879915,True,before 2015,True,False,10238,14000.0,sedan,3,1,7
123,242772,26-39,female,majority,10-19y,none,middle class,0.5036589704487734,True,before 2015,False,True,10238,10000.0,sedan,1,2,0
124,393449,26-39,female,majority,10-19y,high school,middle class,0.0,False,before 2015,False,False,10238,12000.0,sedan,2,0,0
125,380740,65+,male,majority,30y+,university,upper class,0.7264400018455291,True,after 2015,True,True,10238,7000.0,sedan,2,0,3
126,938115,16-25,female,majority,0-9y,none,poverty,0.2444900931240796,False,before 2015,False,True,32765,7000.0,sedan,0,0,0
127,727943,16-25,male,majority,0-9y,university,middle class,0.5757707974509628,True,before 2015,False,False,10238,11000.0,sedan,0,0,0
128,766309,16-25,male,majority,0-9y,high school,poverty,0.0,False,before 2015,False,False,10238,10000.0,sports car,0,0,0
129,261229,16-25,male,majority,0-9y,university,working class,0.468671965728324,True,after 2015,False,True,32765,9000.0,sedan,0,0,0
130,60866,65+,male,majority,20-29y,university,upper class,0.6970834558464781,False,after 2015,False,True,10238,13000.0,sedan,3,0,2
131,752797,40-64,female,majority,20-29y,high school,working class,0.5429181079423034,True,before 2015,False,False,10238,15000.0,sedan,1,1,0
132,45002,65+,male,majority,30y+,high school,upper class,0.6722562535141292,True,before 2015,True,True,10238,9000.0,sedan,4,1,2
133,482448,16-25,male,majority,0-9y,none,poverty,0.3864066185703315,False,before 2015,False,False,32765,8000.0,sedan,0,0,0
134,549142,16-25,male,majority,0-9y,university,middle class,0.5512978330713669,True,before 2015,True,True,10238,12000.0,sedan,0,0,0
135,95138,40-64,male,majority,20-29y,high school,middle class,0.5985570254244251,False,after 2015,True,False,10238,14000.0,sedan,4,1,4
136,851152,26-39,female,majority,10-19y,none,working class,0.0,False,before 2015,True,True,10238,14000.0,sedan,0,0,1
137,615991,40-64,female,majority,20-29y,high school,upper class,0.5824219946087406,True,after 2015,True,True,10238,11000.0,sedan,2,0,1
138,424820,26-39,female,minority,10-19y,high school,middle class,0.540182723180248,True,before 2015,True,True,10238,11000.0,sedan,0,0,1
139,807847,65+,male,majority,20-29y,university,upper class,0.6330139475122963,True,after 2015,False,True,10238,14000.0,sedan,3,1,4
140,758983,40-64,male,majority,20-29y,high school,middle class,0.552204630296896,True,after 2015,True,False,32765,12000.0,sedan,6,0,3
141,987114,26-39,female,majority,0-9y,university,middle class,0.3266816101781183,False,before 2015,False,False,10238,16000.0,sedan,0,0,0
142,873457,40-64,male,minority,20-29y,high school,middle class,0.5880825424047316,True,before 2015,True,True,10238,13000.0,sedan,7,1,1
143,699703,65+,female,majority,0-9y,university,upper class,0.7022748020975709,False,before 2015,True,True,92101,10000.0,sedan,0,0,0
144,563342,65+,female,majority,0-9y,university,upper class,0.7266055391975765,True,before 2015,False,True,10238,13000.0,sedan,0,0,0
145,504412,26-39,male,majority,10-19y,university,working class,0.0,False,before 2015,True,True,10238,12000.0,sedan,3,2,3
146,284106,65+,male,majority,30y+,university,upper class,0.73238212135242,True,before 2015,True,True,10238,12000.0,sedan,5,1,5
147,78189,16-25,female,majority,0-9y,none,poverty,0.2012839211827758,True,before 2015,False,False,32765,12000.0,sedan,0,0,0
148,427520,26-39,male,majority,10-19y,university,middle class,0.4641607076311848,False,before 2015,False,False,10238,16000.0,sedan,0,1,0
149,689030,40-64,female,majority,20-29y,university,upper class,0.6579677428053038,True,after 2015,True,False,92101,13000.0,sedan,1,0,1
150,966467,65+,male,majority,30y+,university,upper class,0.6002161554309658,True,before 2015,True,True,10238,13000.0,sedan,5,2,4
151,288712,65+,male,majority,30y+,university,upper class,0.6663760181644964,True,after 2015,True,True,10238,12000.0,sedan,3,0,7
152,228114,26-39,male,majority,0-9y,high school,working class,0.4031472802313768,True,before 2015,True,True,10238,10000.0,sedan,0,0,0
153,63715,65+,male,majority,20-29y,university,upper class,0.4169350441301069,True,before 2015,False,True,10238,13000.0,sedan,5,1,5
154,624077,65+,female,majority,30y+,none,upper class,0.5948797136778915,True,before 2015,True,True,32765,8000.0,sports car,10,0,1
155,726352,26-39,male,minority,10-19y,none,poverty,0.3804265034620669,False,before 2015,True,True,10238,16000.0,sedan,1,0,1
156,150072,16-25,female,majority,0-9y,none,poverty,0.0,False,before 2015,False,False,21217,14000.0,sedan,0,0,0
157,792396,65+,female,majority,30y+,university,upper class,0.680617632406099,True,before 2015,True,True,10238,12000.0,sedan,1,2,2
158,768933,40-64,male,minority,0-9y,high school,working class,0.3559504699938693,True,before 2015,False,True,10238,16000.0,sedan,0,0,0
159,452356,40-64,female,majority,10-19y,none,middle class,0.0,True,before 2015,False,True,32765,10000.0,sedan,2,0,0
160,849811,65+,female,minority,30y+,high school,upper class,0.587831426389767,True,after 2015,True,False,32765,10000.0,sports car,3,0,1
161,579336,65+,female,majority,10-19y,university,upper class,0.5733880426029547,True,after 2015,True,True,10238,10000.0,sedan,0,0,2
162,648922,16-25,male,majority,0-9y,university,middle class,0.2964062828237805,True,before 2015,False,False,10238,13000.0,sedan,0,0,0
163,47909,65+,male,majority,10-19y,university,upper class,0.4295096986208441,True,before 2015,True,True,10238,10000.0,sedan,1,0,4
164,619577,65+,female,majority,30y+,university,upper class,0.6885687186194461,True,after 2015,False,True,92101,11000.0,sedan,2,0,0
165,212678,65+,female,majority,20-29y,university,upper class,0.700017431968704,True,after 2015,False,True,32765,13000.0,sedan,1,0,1
166,579720,26-39,male,majority,10-19y,university,working class,0.4495886310379405,False,before 2015,False,True,10238,13000.0,sports car,0,0,1
167,995884,40-64,female,majority,20-29y,university,upper class,0.6900455818778344,True,after 2015,True,False,10238,11000.0,sedan,2,1,1
168,226326,40-64,female,minority,10-19y,university,working class,0.4960298730510012,True,after 2015,False,False,10238,13000.0,sedan,0,0,1
169,943922,26-39,male,majority,10-19y,university,upper class,0.6563457625165399,False,after 2015,True,True,32765,6000.0,sedan,8,0,0
170,510116,40-64,male,majority,0-9y,high school,middle class,0.4983566259941653,True,after 2015,False,True,10238,12000.0,sedan,0,0,0
171,536546,16-25,female,majority,0-9y,university,middle class,0.5463825431033477,True,before 2015,True,True,10238,12000.0,sedan,0,0,0
172,75592,40-64,female,majority,10-19y,high school,working class,0.3158628767091658,True,before 2015,False,True,10238,11000.0,sedan,0,0,1
173,487116,26-39,male,majority,10-19y,none,working class,0.5300643171181573,True,before 2015,False,False,10238,11000.0,sedan,1,0,2
174,936820,26-39,female,majority,10-19y,high school,working class,0.3578391720711443,True,before 2015,False,True,32765,12000.0,sedan,1,0,0
175,634050,65+,male,majority,10-19y,university,upper class,0.672756052841708,True,after 2015,True,True,10238,9000.0,sedan,1,0,2
176,307397,40-64,male,majority,20-29y,university,upper class,0.7419993760301162,True,after 2015,False,True,10238,9000.0,sedan,2,0,2
177,558748,65+,female,majority,30y+,university,upper class,0.6226519789949738,True,after 2015,True,True,10238,11000.0,sedan,1,0,0
178,856630,16-25,female,majority,0-9y,high school,middle class,0.4801406677163008,False,after 2015,False,False,32765,14000.0,sedan,0,0,0
179,200009,65+,male,majority,30y+,university,upper class,0.6787954309829434,True,after 2015,True,True,10238,11000.0,sedan,5,1,3
180,784462,65+,male,majority,30y+,university,upper class,0.0,True,before 2015,True,True,32765,10000.0,sedan,13,1,6
181,792252,40-64,female,majority,20-29y,university,upper class,0.5152467080125883,True,after 2015,False,True,10238,12000.0,sedan,2,0,1
182,462586,26-39,male,majority,10-19y,none,working class,0.4899205986325767,True,before 2015,False,True,10238,13000.0,sedan,3,0,1
183,577965,65+,male,majority,30y+,high school,middle class,0.4219579486132668,True,before 2015,False,True,10238,11000.0,sedan,4,0,6
184,818248,40-64,male,majority,20-29y,university,upper class,0.5843548496662949,True,before 2015,False,False,10238,11000.0,sedan,1,0,2
185,491438,16-25,male,majority,0-9y,none,poverty,0.0,False,before 2015,False,False,10238,9000.0,sedan,0,0,0
186,896587,65+,female,majority,30y+,high school,upper class,0.5581569698935803,True,after 2015,False,True,10238,14000.0,sedan,0,0,0
187,431538,16-25,male,majority,0-9y,high school,poverty,0.19414954837432,False,before 2015,True,False,10238,12000.0,sports car,0,0,0
188,164516,16-25,male,majority,0-9y,high school,poverty,0.300497330390378,False,before 2015,False,False,10238,13000.0,sedan,0,0,0
189,479577,40-64,female,majority,20-29y,university,upper class,0.6670906918498556,True,after 2015,True,True,10238,7000.0,sedan,4,0,0
190,395233,40-64,male,majority,0-9y,high school,upper class,0.6130724079074048,True,before 2015,True,False,10238,7000.0,sedan,0,0,0
191,221838,40-64,male,majority,10-19y,university,upper class,0.0,True,after 2015,True,False,10238,11000.0,sedan,3,0,2
192,938476,26-39,male,minority,10-19y,high school,middle class,0.5952817629709132,True,before 2015,True,True,32765,8000.0,sedan,1,0,1
193,112454,26-39,male,majority,0-9y,none,poverty,0.3482357882933829,False,before 2015,True,True,32765,7000.0,sedan,0,0,0
194,91246,26-39,male,majority,10-19y,high school,working class,0.3566396714745861,True,after 2015,True,True,10238,8000.0,sedan,3,0,1
195,2743,26-39,female,majority,10-19y,none,working class,0.3486591269429803,False,before 2015,True,False,21217,12000.0,sedan,0,0,0
196,248888,40-64,male,majority,0-9y,high school,middle class,0.5594684860915574,True,before 2015,False,True,32765,12000.0,sedan,0,0,0
197,195523,16-25,male,majority,0-9y,high school,poverty,0.514483730987584,False,before 2015,False,False,10238,12000.0,sedan,0,0,0
198,981926,40-64,female,majority,20-29y,university,upper class,0.5626384060668865,True,after 2015,False,True,10238,13000.0,sedan,2,1,0
199,593426,40-64,male,majority,20-29y,university,middle class,0.5717246252857962,True,before 2015,False,True,32765,15000.0,sedan,2,2,1
200,235574,65+,female,majority,30y+,university,upper class,0.6510078690171576,True,after 2015,True,True,10238,12000.0,sedan,5,0,2
201,440993,16-25,male,majority,0-9y,university,working class,0.3707348173567914,True,before 2015,False,False,10238,12000.0,sedan,0,0,0
202,446993,16-25,male,majority,0-9y,high school,poverty,0.3051450776813433,True,before 2015,False,False,10238,14000.0,sedan,0,0,0
203,82684,26-39,male,majority,10-19y,university,upper class,0.5744144216758436,True,before 2015,False,False,32765,14000.0,sedan,2,0,5
204,301242,26-39,female,majority,10-19y,university,middle class,0.4500145680826032,True,before 2015,False,True,10238,13000.0,sedan,1,0,1
205,784122,26-39,male,majority,10-19y,university,upper class,0.6364490959261638,True,before 2015,True,True,10238,13000.0,sedan,0,1,4
206,884967,65+,male,majority,30y+,university,upper class,0.4576717029360895,False,before 2015,True,True,10238,13000.0,sedan,4,0,8
207,7722,26-39,female,minority,0-9y,high school,poverty,0.3357473732007096,False,before 2015,False,True,10238,15000.0,sedan,0,0,0
208,278557,26-39,female,majority,10-19y,none,poverty,0.3186947648911332,False,before 2015,False,True,32765,15000.0,sports car,1,2,0
209,123443,26-39,male,majority,10-19y,university,upper class,0.5578403271955679,True,after 2015,True,True,10238,10000.0,sedan,2,0,0
210,112143,16-25,female,majority,0-9y,none,working class,0.1924274124285441,False,before 2015,False,True,32765,11000.0,sedan,0,0,0
211,912138,26-39,male,majority,10-19y,university,working class,0.3528243251354439,False,before 2015,True,True,32765,11000.0,sports car,6,1,3
212,601305,65+,female,majority,0-9y,university,upper class,0.647569234863379,False,after 2015,True,True,10238,11000.0,sedan,0,0,0
213,602274,16-25,female,majority,0-9y,high school,middle class,0.4572362634438549,True,after 2015,False,False,92101,10000.0,sedan,0,0,0
214,352099,26-39,male,majority,10-19y,none,middle class,0.5042469291759577,True,before 2015,False,True,10238,13000.0,sedan,0,0,1
215,660400,16-25,male,majority,0-9y,high school,poverty,0.3749625006784157,True,before 2015,False,True,10238,15000.0,sedan,0,0,0
216,267614,16-25,female,majority,0-9y,university,upper class,0.6603156212983624,True,before 2015,False,True,10238,11000.0,sports car,0,0,0
217,974380,40-64,female,majority,20-29y,high school,upper class,0.4169178873741152,True,before 2015,False,True,32765,12000.0,sedan,3,0,0
218,346585,26-39,female,majority,10-19y,high school,upper class,0.6350840347750659,True,before 2015,True,False,10238,17000.0,sedan,0,1,0
